x,y,z,v_opt,s_opt
69.2659343,-9.247882,0,8.8930145,93.7894887
69.3485387,-9.4297584,0,8.7791158,93.98924483
69.4279399,-9.6132884,0,8.6621725,94.18921436
69.50408,-9.7985049,0,8.5416982,94.38947036
69.576685,-9.984887,0,8.4172588,94.58949479
69.6456601,-10.172322,0,8.2888683,94.78921821
69.7110299,-10.3611668,0,8.1608708,94.98905707
69.7724272,-10.5510346,0,8.0576395,95.18860508
69.8293907,-10.7428804,0,7.987356,95.38872917
69.8807098,-10.9360486,0,7.9498906,95.58859814
69.9255699,-11.1307728,0,7.9376074,95.78842292
69.9633265,-11.3272064,0,7.9366552,95.98845221
69.9936387,-11.5250726,0,7.9357028,96.18862679
70.0167141,-11.72368,0,7.9483445,96.38857022
70.0330649,-11.9228365,0,7.9810659,96.58839679
70.0431655,-12.1224968,0,8.0303179,96.78831242
70.0474228,-12.3224244,0,8.0931378,96.98828534
70.0462138,-12.5224267,0,8.1672686,97.1882913
70.0398912,-12.7223484,0,8.250996,97.38831295
70.0287866,-12.9220656,0,8.3430253,97.58833863
70.0132142,-13.1214807,0,8.442389,97.78836083
69.9934736,-13.320519,0,8.5483778,97.98837567
69.9698522,-13.5191252,0,8.6604872,98.18838165
69.9426271,-13.7172606,0,8.7783762,98.38837876
69.9120672,-13.9149011,0,8.8972552,98.58836795
69.8784342,-14.1120353,0,9.0145388,98.78835063
69.8419843,-14.3086631,0,9.1302883,98.98832834
69.8029686,-14.5047943,0,9.2445614,99.18830252
69.7616339,-14.7004471,0,9.3574121,99.38827396
69.7182224,-14.8956487,0,9.4688914,99.58824451
69.6729747,-15.0904287,0,9.5790471,99.78821102
69.6261179,-15.2848325,0,9.6879244,99.98818201
69.5778991,-15.4788994,0,9.7955659,100.1881495
69.5285196,-15.6725496,0,9.902012,100.3879963
69.4777805,-15.8657757,0,10.0073007,100.5877732
69.4253926,-16.0586517,0,10.1114683,100.7876372
69.3713451,-16.2511073,0,10.214549,100.9875379
69.3156376,-16.4431064,0,10.3165754,101.1874553
69.2582275,-16.6346874,0,10.4175785,101.3874533
69.1991031,-16.8258538,0,10.5175878,101.587554
69.1382456,-17.0166274,0,10.6166315,101.7877994
