# x_ref_m, y_ref_m, width_right_m, width_left_m, x_normvec_m, y_normvec_m, alpha_m, s_racetraj_m, psi_racetraj_rad, kappa_racetraj_radpm, vx_racetraj_mps, ax_racetraj_mps2
-29.2655735, -61.5215584, 5.0027296, 4.9972704, -0.2559736, -0.9666838, -0.7512796, 328.6070616, -2.2547336, 0.0065148, 13.7996038, 5.1857426
-28.9744246, -61.5982255, 5.0026696, 4.9973304, -0.2534077, -0.9673596, -0.6157151, 328.9355896, -2.2524007, 0.0051559, 13.9490877, 5.1832538
-28.6831342, -61.6741916, 5.0026204, 4.9973796, -0.2513858, -0.9678870, -0.4796440, 329.2648991, -2.2514368, 0.0044856, 14.0232055, 5.1820098
-28.3917793, -61.7496123, 5.0025712, 4.9974288, -0.2499085, -0.9682695, -0.3432232, 329.5947555, -2.2499135, 0.0031271, 14.1702254, 5.1795228
-28.1004319, -61.8246430, 5.0025220, 4.9974780, -0.2489628, -0.9685130, -0.2066057, 329.9249253, -2.2489402, 0.0017460, 14.3156661, 5.1770370
-27.8091436, -61.8994384, 5.0024853, 4.9975147, -0.2485364, -0.9686226, -0.0699260, 330.2552044, -2.2486583, 0.0010733, 14.3878092, 5.1757946
-27.5179608, -61.9741533, 5.0024610, 4.9975390, -0.2486298, -0.9685986, 0.0666857, 330.5853997, -2.2484986, -0.0002760, 14.5309696, 5.1733106
-27.2269300, -62.0489425, 5.0024366, 4.9975634, -0.2492437, -0.9684408, 0.2030982, 330.9153173, -2.2488778, -0.0016198, 14.6726656, 5.1708277
-26.9360979, -62.1239606, 5.0024123, 4.9975877, -0.2503787, -0.9681480, 0.3391800, 331.2447636, -2.2492689, -0.0022923, 14.7429777, 5.1695868
-26.6455108, -62.1993624, 5.0021718, 4.9978282, -0.2520349, -0.9677181, 0.4747994, 331.5735456, -2.2504545, -0.0036379, 14.8825552, 5.1671057
-26.3552153, -62.2753027, 5.0018635, 4.9981365, -0.2542126, -0.9671484, 0.6098249, 331.9014717, -2.2521790, -0.0049841, 15.0207698, 5.1646259
-26.0652578, -62.3519362, 5.0015552, 4.9984448, -0.2569117, -0.9664349, 0.7441255, 332.2283522, -2.2532430, -0.0056615, 15.0893777, 5.1633864
-25.7756850, -62.4294176, 5.0012384, 4.9987616, -0.2601320, -0.9655731, 0.8775708, 332.5540002, -2.2557785, -0.0070186, 15.2256172, 5.1609083
-25.4865433, -62.5079016, 5.0004086, 4.9995914, -0.2638727, -0.9645575, 1.0100318, 332.8782319, -2.2572504, -0.0076989, 15.2932575, 5.1596698
-25.1978792, -62.5875430, 4.9995789, 5.0004211, -0.2681333, -0.9633818, 1.1413810, 333.2008679, -2.2606030, -0.0090736, 15.3289106, -9.8839975
-24.9097393, -62.6684965, 4.9987491, 5.0012509, -0.2729123, -0.9620389, 1.2714926, 333.5217331, -2.2645089, -0.0104543, 15.0704130, -9.6441129
-24.6221699, -62.7509168, 4.9981368, 5.0018632, -0.2782082, -0.9605208, 1.4002432, 333.8406585, -2.2666687, -0.0111522, 14.9418810, -9.5312047
-24.3352177, -62.8349587, 4.9981319, 5.0018681, -0.2840189, -0.9588187, 1.5275121, 334.1574809, -2.2714096, -0.0125588, 14.6860219, -9.3155456
-24.0489292, -62.9207769, 4.9981270, 5.0018730, -0.2903418, -0.9569230, 1.6531817, 334.4720449, -2.2739929, -0.0132653, 14.5586099, -9.2138730
